event_id,event_label,information_date,market_start,market_end,group_order,group_id,company_count,positive_company_count,positive_every_market_day_count,mean_market_adjusted_return,median_market_adjusted_return,mean_ols_market_model_return,company_names,source_name,source_url,selection_status,interpretation_boundary
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,1,LOCKHEED_MARTIN,1,1,1,0.0264534436772704,0.0264534436772704,0.0255134173303755,Lockheed Martin Corporation,Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,2,NORTHROP_GRUMMAN,1,1,1,0.0116235515985895,0.0116235515985895,0.0106284736036083,Northrop Grumman Corporation,Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,3,GENERAL_DYNAMICS,1,1,1,0.0105827349278108,0.0105827349278108,0.0101187262928203,General Dynamics Corporation,Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,4,RTX,1,1,1,0.0054712297064011,0.0054712297064011,0.0044715524912668,RTX Corporation,Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,5,US_DEFENCE_SP500,4,4,4,0.013532739977517949,0.01110314326320015,0.012683042429517727,General Dynamics Corporation | Lockheed Martin Corporation | Northrop Grumman Corporation | RTX Corporation,Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,6,US_NON_DEFENCE_SP500,14,9,9,0.014596258511834057,0.01023920308722245,0.013756686713839573,"Apple Inc. | BlackRock Inc. | Chevron Corporation | ConocoPhillips | Duke Energy Corporation | Eli Lilly and Company | Exxon Mobil Corporation | FedEx Corporation | GE Vernova Inc. | Marathon Petroleum Corporation | NVIDIA Corporation | NextEra Energy, Inc. | Palantir Technologies Inc. | The Southern Company",Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,7,ALL_DEFENCE,9,8,8,0.011188498352207832,0.0105827349278108,0.01001963427908669,Airbus SE | BAE Systems plc | General Dynamics Corporation | HENSOLDT AG | Lockheed Martin Corporation | Northrop Grumman Corporation | RTX Corporation | Rheinmetall AG | Thales S.A.,Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_PENTAGON_PRODUCTION,Pentagon production-acceleration report,2026-08-09,2026-08-10,2026-08-10,8,ALL_NON_DEFENCE,34,20,20,0.009024132605423762,0.0011468525527498,0.008999801712625754,"Apple Inc. | BP p.l.c. | Bayer AG | BlackRock Inc. | CNOOC Limited | Canadian Natural Resources Limited | Caterpillar Inc. | Chevron Corporation | China Petroleum & Chemical Corporation (Sinopec Corp.) | ConocoPhillips | CrowdStrike Holdings, Inc. | DHL AG | Duke Energy Corporation | Eli Lilly and Company | Enbridge Inc. | Exxon Mobil Corporation | FedEx Corporation | GE Vernova Inc. | HOCHTIEF Aktiengesellschaft | Iberdrola, S.A. | Marathon Petroleum Corporation | NVIDIA Corporation | NextEra Energy, Inc. | Novo Nordisk A/S | Palantir Technologies Inc. | PetroChina Company Limited | RWE AG | SAP SE | Sanofi | Shell plc | The Goldman Sachs Group, Inc. | The Southern Company | TotalEnergies SE | Volkswagen AG",Associated Press,https://apnews.com/article/c98e042bfd0fd22cd97d15b1fffa322c,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,"Sunday-to-Monday timing is clean, but the event was selected post hoc and concurrent news is uncontrolled. Group comparisons test specificity, not causality."
PHM_RHEINMETALL_JULY,Rheinmetall Skynex announcement and sector-wide July run,2026-07-02,2026-07-01,2026-07-02,1,RHEINMETALL,1,1,1,0.0986064052006709,0.0986064052006709,0.0950276618775136,Rheinmetall AG,Rheinmetall AG,https://www.rheinmetall.com/en/media/news-watch/news/2026/07/2026-07-02-rheinmetall-is-supplying-four-skynex-systems-to-an-international-customer,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,The window was selected after inspecting the later news record. Day -1 is included to test whether the two-day movement was company-specific or sector-wide; no causal attribution is made.
PHM_RHEINMETALL_JULY,Rheinmetall Skynex announcement and sector-wide July run,2026-07-02,2026-07-01,2026-07-02,2,DEFENCE_PEERS,8,8,8,0.06633600725698986,0.060148339524198347,0.06533636507563335,Airbus SE | BAE Systems plc | General Dynamics Corporation | HENSOLDT AG | Lockheed Martin Corporation | Northrop Grumman Corporation | RTX Corporation | Thales S.A.,Rheinmetall AG,https://www.rheinmetall.com/en/media/news-watch/news/2026/07/2026-07-02-rheinmetall-is-supplying-four-skynex-systems-to-an-international-customer,POST_HOC_DESCRIPTIVE_NOT_CAUSAL,The window was selected after inspecting the later news record. Day -1 is included to test whether the two-day movement was company-specific or sector-wide; no causal attribution is made.
